text,label_meaning
就是这样一位被客户列为“合同特殊条款”（让其参与项目）的高级技工，今年，每月收入才刚刚迈过3000元的门槛。,2
我看管自来水站一晃就是几年，腿脚好起来了，政府这才又介绍我参加了正式工作。,2
然而，众游客在下午二时以前赶回“国华”轮后，轮船却迟迟不动，一下午六时许，“国华”轮才准备启航。,2
那是去年7月的一天夜里，他一清晨两点才修好一件电器，并当即将修好的电器送到仓库。,2
1945年2月，我才和冰心大姐初次见面。,2
1960年，南非当局才在这里修建监狱，专门关押黑人政治犯。,2
那天，我们在“东方”咖啡馆坐了许久，艾哈迈德好几次还用店家给他的拨针翻翻烟泥，好让它充分燃烧，烟火将熄，我们才依依不舍地离开。,2
他从林县参观回来，一连忙了几天，昨个一天又开了那么多会，深夜才回屋，他太劳累了，别惊动他，让他多睡一会吧！,2
现在发现的是第一和第二片，是中山图书馆一位工作人员在抗日战争时期和其他旧唱片一起买来放在图书馆的，最近才发现这一有纪念意义的录音片。,2
萧庆端是一个从六、七岁就入初小读书，经过初中、高中、大学，一去年秋季才从天津大学机械系毕业，参加实际工作的青年团员。,2
家庭原是贫农成分，解放后家里才分得耕地十一亩，竹林七分。,2
去年腊月廿三晚上，仍战斗在工地上，午夜才回去和家人团聚。,2
一一九五二年第三季度中华全国合作总社粮食经理部派人检查华东区工作时，才发觉这批豆饼不是总社下拨的；但对这批豆饼的来源也不清楚。,2
孩子出生10来天后，黄斌才匆匆赶回湖北去看望妻子。,2
为什么现在这种形式和内容的波兰共和国宪法草案，立宪议会成立的末期，即到一九五二年才交给立宪议会讨论而不在五年以前立宪议会成立的初期交付讨论呢？,2
回国前，我才匆匆赶到气象站去参观。,2
1918年底德国共产党的建立才为一个马克思列宁主义的群众性政党奠下了基石。,2
战斗结束后，他们才出动飞机向府固乱投炸弹，结果使许多伪军伤兵和住在这个据点四周的伪军家属被炸死。,2
读到贾霁同志的《不足为训的武训》、杨耳同志的《试谈陶行知先生表扬〈武训精神〉有无积极作用》、汪曾祺同志的《武训的错误》等文，才使我从许多错误思想里解放出来。,2
辽宁省的滩涂养虾起步较晚，1979年以后才在各级财政和农业银行的资金扶持下迅速发展起来。,2
在这场球赛中，双方都打得很出色，曾经十一次打成平局，最后波兰“近卫军”队才以三分之差败给了浙江队。,2
会议从上午九时开始，下午一点一刻才休会。,2
但现在军队的态度不够明朗，今天凌晨，军方才发表公报，只是简单地声明军队“不插手”这一危机。,2
他把大车上的黑泥擦干净，把粪帘子板用铁丝拴好，把铁锨擦得明光净亮，然后又忙着和青年民兵们一同去巡逻，晚上九点才回家吃饭。,2
可吴成生病逝，他妻子整理遗物时才发现这封信。,2
显然，现在，国务卿才发现苏联不希望战争。,2
三十年前的五四运动，中国才出现了一股光明，中国人经过俄国人的介绍，找到了马克思列宁主义。,2
最后一块指甲盖大的弹片在体内留存了40多年，1985年才取出来。,2
第二天晚上11时左右，迎来了可可西里管理局的才嘎局长和副局长罗延海带来的接应队伍。,2
去年12月，他在中医院内科住院治疗高血压，血压指标正常才出院回家。,2
所有的工作都干完，实在撑不住的他才去了医院，一去就住下了。,2
尽管只有90公里的路程，但一下午1点多，近30人的演出队伍才到达目的地。,2
冈比亚人民遭受西方殖民主义数百年统治，1965年2月才取得独立，1970年4月24日宣布成立共和国。,2
1959年北京新站投入使用，前门东站才停止运营。,2
我虽然在1974年已经参加了整理帛书的一些工作，但1978年初才去整理小组报到。,2
2008年，广东壮士断腕般提出了产业和劳动力“双转移”战略，才使得珠三角与东西北地区之间不断拉大的区域差距开始迎来历史性的拐点。,2
一临死前3天，才听医生和家人的坚决要求，完全卧床静养。,2
队员们听了后，立即毫不犹豫地到这个社员家里去放映幻灯，深夜一点才回来休息。,2
不少的人对这种情况表示过不满的意见，而教育部最近才在想办法、采取一些措施，以致这几年来绝大部分高等学校毕业生只能抱了几本教科书和讲义作为知识的唯一宝库，更无其他自学途径。,2
疼痛难忍时，才去医院检查，被确诊为肝癌晚期。,2
