text,label_meaning
凌河镇偕户村生姜种植户李莲，以往都要等到深秋时，才会把姜挖出来卖掉。,2
是毛主席，指出了枪杆子里面出政权，对于帝国主义和一切反动派统治下的旧世界，只有用枪杆子才可能改造。,3
万幸的是他遇到了好人的帮助，这才从万分懊恼和沮丧中重新挺起腰杆，继续坚韧地坚持自己的目标。,3
只有天山，才具如此的掌控能力，将喧哗和静默有机统一，将奔涌和凝固完美结合。,3
只有经受实践风雨的洗礼，“四个意识”才会在思想深处扎根。,3
这时，我们才在所里试验井架上继续试验，研究、设计适合各种钢轨、各种坡度的煤矿用标准斜井人车，为煤炭工业发展创造条件。,2
因此，自己的脚懒不得，停不得，必须经常到下面去走一走，看一看，听一听，问一问，真正把情况弄清楚，指导工作才会比较有把握。,3
男、女单打比赛争夺十分激烈，许多场次是打满了五局才决出胜负的，一些名将被新秀淘汰，几乎每一轮都有冷门爆出。,2
通过银行贷款购房，尽管这几年才在中国盛行，但在国外早已是十分平常的事情了。,2
他们同大风雪整整搏斗了十一个小时，深夜到达一个居民点才休息。,2
苏联30年代处理布哈林等人的案件时，正是由于社会主义法制遭到破坏，抛弃了公开审理的法制原则，才出现“伪造证词，用不允许的方法向被告人取口供”的恶劣后果。,3
写判决书时，她的标准是改到不能再改才发给当事人。,2
他经常对学生讲，只有在中国共产党领导下，中国的现代化建设才会突飞猛进发展。,3
正是由于不断地出现动荡，不断地发生变革，人类的历史才不断地向前推进。,3
这个延边天池气象站，建在海拔二千六百米的山坡上，从八月飘雪，到转年五月才冰消雪融。,2
在全国设计革命的形势鼓舞下，我主动去催办，才发现有的部门所以不肯改设计，是因为他们只算眼前小账，怕改变计划之后，增加麻烦，增加支出。,3
这充分说明，党中央为刘少奇同志平反，是极为郑重的，它完全是从事实出发，经过周密的调查研究，反复核对有关的人证物证，才做出结论的。,3
等到看见我笑了一下，才又低下头去一面涂鞋油一面说：“还过得去。,2
这样，妇女才会和男子处于平等地位。,3
但过去这种香水的颜色比较深；洒在淡色衣服上，常常留下斑迹，要洗滌以后才会脱去。,3
汤沐海说：“到了德国，才发现自己要学的东西实在太多了，毕竟西方古典音乐有着几百年的历史积淀。”,2
