text,label_meaning
去年，他在一次执行巡逻任务中，排除越军埋入我境的地雷，英勇牺牲，当时才22岁。,3
她仅仅是因为丈夫被日本人杀死，报夫仇，才参加了抗日战争时期的一些政治活动。,3
安宪增接到通知，马上骑自行车找到罗有昌，不误点，他把自行车交给罗有昌，自己步行了两个多小时才回到段里。,3
对你表示诚挚的敬意，有关方面才决定委托我和金坚范同志去美国为你颁奖。,3
受到表扬才去干某一件事，那就算不得全心全意为人民服务。,3
他说：“因为这边人工费很高，省钱，自己能做的都学着去做，实在搞不定了才会请人帮忙。,3
姑无论共产党和民主党派的关系，并不像周公与成王那样是“君”与“臣”的地位，就是帮助也是建立社会主义社会，才在同一目标之下共同奋斗的。,3
只是在两次世界大战期间，动员人民反对德国军国主义和法西斯主义，美、英、法的领导者才不得已又从档案中抽出“自由民主”的旗帜，并依靠它取得了胜利。,3
历史告诉我们，广大劳动群众是生存和幸福才去进行一次又一次的斗争的。,3
找一块进口的铝镁合金做仪器部件，他跑了武汉市很多工厂、单位，翻了不少废品堆，最后才在武汉锅炉厂找到了一块。,3
这个使命，有的战友放弃了上大学深造，有的放弃了到国外继承亲属财产，有的在亲人临终时都没能回去见上一面……一位才19岁的战友，患了肠癌还坚持要求去上哨。,3
但有些乡镇企业忽视环境保护和劳动保护，赶进度、拚产量，对防疫站的检查和忠告不予重视，软磨硬顶，阳奉阴违，非等到出了事故得了病才去求医问药。,3
如果官员把腐败作为工作的动力、获得个人利益才办事，必然导致供给体系的质量和效益低下。,3
中国只是照顾被侵略者的一方一再提出的要求，才不便对此予以否决。,3
无论是工作需要，还是结识朋友，总是有某种理由和需要，你才与这位陌生人交往。,3
赵一德表示，我们不是峰会期间的天气才关停钢铁企业，去产能是杭州一直抓的中心工作。,3
比如消除污染，大工厂或污染严重的工厂，都是在东南方向的郊区（平壤刮西北风多），烟囱一般有除尘设备，污水要经过过滤、消毒以后才允许流入江河。,3
没有，我们要做好人，也是自己要修炼才做的，所以，还是另一种‘执著’，一种更可怕的自私。,3
考古工作者完成对这座古城遗址的考察，他们在去年10月间从民丰县红旗公社出发，骑着骆驼在沙漠中跋涉了三天才到达目的地。,3
可是因为至今只有唯一的法文论文可查考，既缺乏其它证明，又找不到中文原著，审慎起见，暂时还只能视为待考的问题，待多方面搜寻资料之后，才好最后解决。,3
是建立共产主义社会，实现人类的解放去干革命，还是升官发财，出人头地，才去干革命？,3
所有这些写作，都是革命工作的需要，而不是当什么“家”才去搞写作的。,3
二十二兵团副司令员赵锡光担任石河子城市基本建设处处长，绿化城市，他早起晚睡，积劳成疾，逝世那年才五十四岁。,3
一个又一个国家正是人民的富足才决策发展轿车的。,3
人间有多少忠于职守、重视责任的人们：那些明知每时每刻都有生命危险的干警们；那些明知要吸收放射线物质的大夫们；那些成年累月在深山老林里的地质队员们……难道他们是个人的利益才去做那种工作吗？,3
祖国的统一，乾隆皇帝向前来朝觐的班禅六世亲赠东珠朝珠以表“一片虔诚”，当发现东珠朝珠已被董妃借和珅之手偷换之时，他决不宽容而坚决按“祖制”处置，后经班禅六世“求情”才“恕娘娘远罪求益”。,3
但他在试作小说的时候，却更近于托尔斯泰了，这是因为左拉是写小说，才去经验人生，他对人生的态度是冷酷的。,3
这封信指出，数年前，俄国大力向中东和阿拉伯渗透才奉行“同埃及友好”的政策。,3
大庆申奥自行车队的队员主动向记者介绍，支持北京申奥，他们7月1日从大庆出发，昨天才到达北京，骑了1460公里。,3
正是这个缘故，他们才嗾使一个年轻的暴徒杀害了浅沼先生。,3
权威”们设计这个产品，先找到了进口的样机，又买来了整箱的图纸资料，抄来抄去，抄了几年，才“抄”出个“设计”来。,3
陈老五是党员，不信这一套，可是满足才大爷这个可怜的愿望，他还是怀着真挚的感情，夜深人静时悄悄来到墓地，在老人的坟头烧了几张纸。,3
比尔·盖茨认为，一个新媒体诞生后，它的首批内容，难免、必须也必然来自其他媒体，但是，“充分利用电子媒体的资源，它的内容需要专门创造”，而且需要一批具有创新精神和才华的创造者。,3
开大会，开小会，领导上再三再四的解释：“我们是团结抗战”，大家才不再说什么了。,3
各机关是防止火灾，才买消防器材的。,3
写景是要写情，这一点，在中国优秀诗人和画家心里一直是很明确的，无论写诗、作画，都要求站得高于现实，这样来观察、认识现实，才可能全面深入。,3
