text,label_meaning
是毛主席，指出了枪杆子里面出政权，对于帝国主义和一切反动派统治下的旧世界，用枪杆子才可能改造。,3
天山，才具如此的掌控能力，将喧哗和静默有机统一，将奔涌和凝固完美结合。,3
经受实践风雨的洗礼，“四个意识”才会在思想深处扎根。,3
他经常对学生讲，在中国共产党领导下，中国的现代化建设才会突飞猛进发展。,3
实践证明，一个地方风气正，人心齐，干部群众精神振奋，各项事业才会长足发展。,3
革命军人平时刻苦训练，才会有战时的决战决胜。,3
联合声明说，两国政府深信，“战争不能解决问题”，在和平中，才会使南斯拉夫和印度两国人民有机会自我发展。,3
以高格调的产品为号召，小小“TV”才会别有洞天，别具滋味。,3
坦诚交流、相互尊重，眼下的有利氛围才会真正转化为伊核问题和平解决的新契机。,3
吴先生认为，当今的中国足坛缺乏顶尖的球星，培养出众多技艺非凡的球星，足球运动才会变得更有魅力。,3
我们西藏人民也在中国共产党和各族人民伟大领袖毛主席的英明领导下，坚决走社会主义道路，才会有光明幸福的前途。,3
经过长期的这样的学习，才可以指望改变一部分哲学工作者的书生气和学生腔，逐步掌握理论联系实际的方法，写出从实践中来的哲学，写出为工农兵和革命干部所欢迎的哲学。,3
村民们还向客人献上在盛大节日才吃的传统食品。,3
艺术创作需要起码的物质生存条件，人在解决了衣食住行的实际需求后才可能从事艺术和其他活动。,3
中非人不仅爱吃蚂蚁，而且非常喜欢吃毛毛虫和金龟子等，品尝过这些小生物的人，才会理解他们为什么这么爱吃。,3
内塔尼亚胡强调，在巴自治政府履行打击恐怖活动的义务后，以色列才会进一步向巴方移交约旦河西岸土地。,3
经过反复的磨练，中国女排才会状态越来越稳定，队伍越来越成熟。,3
区长和议员则是兼职的，月薪600美元，他们平时都有各自的职业，只是在召开议会或决定社区大事时才到社区来。,3
那些害怕加强和平和不希望国际局势正常化的人，才会对这个消息感到惊慌和悲伤。,3
经济上不依靠别人，军事上政治上才会有力量。,3
千方百计增加农民收入，开拓农村市场，才会进一步拉动整个经济增长。,3
经过自己刻苦钻研出来的，才一辈子也忘不了。,3
共产党来了，才不愁吃不愁穿，好好地过我的晚年。,3
声明说，捍卫不干涉和自决权的原则，墨西哥的呼声才可能是拉丁美洲各国人民的真正呼声。,3
真正走向大众，找到干预社会生活的途径，哲学才会有生命力。,3
一个政党，成为高度制度化、组织化的现代政党，才可执政好、治理好一个国家。,3
下定决心，做耐心的艰苦的调查研究工作，遇到一件事情，多方面打听打听，写出来的东西才会对头。,3
他说，这样，“他才会同这个国家的新领导合作”。,3
本民族音乐艺术大发展，为本国人民所喜爱，并为世界音乐的总宝库增加了财富的人，才值得人们尊敬，这难道有什么疑问吗？,3
当反对派首领们向全世界丢了脸的时候，这样做，也这样做，才可以摧毁反对派。,3
但是到了现代无产阶级登上历史舞台以后，这种历史的辩证法，才从盲目的支配力量变成为先进阶级自觉地运用来改造世界的强大武器。,3
这样，我们的社会主义事业才会蒸蒸日上，道路越来越宽广。,3
在陪伴的基础上，父母的嘉言懿行才会起到榜样的作用。,3
真正与人民为敌的康生及其同伙林彪、“四人帮”，才会把他们所推行的貌似前进、实际上只能是把社会拉向后退的极左的政策，奉为正确的政策。,3
抓住主要矛盾，才会收到良好的效果。,3
一九六五年冬天，哈米拉的母亲和兄、嫂都病了，能出门的当时才十三岁的哈米拉。,3
通过这件事，我更坚定一个信念：多为百姓做好事，做实事，在突发事件面前，老百姓才可能帮助我们。,3
如此，用现代新风取代传统陋俗的日子才会早日到来！,3
福秋、黑丑的转变同和好在矛盾充分展开的时候才会自然和动人。,3
枫桥公社有一个统计：一九七一年到一九七八年百分之七十八到百分之九十一的四类分子都参加力所能及的劳动，丧失了劳动力的四类分子才不参加劳动。,3
一个懦夫和恶汉才会向手无寸铁的战俘们动手屠杀。,3
而这决定全党立即实行起来才会生效力的。,3
须知美帝国主义在它的侵略面目完全暴露，在它的侵略政策遭到全世界人民的坚决反对而陷于完全孤立，并且用任何方法也挽救不了它的失败的时候，才会稍稍收敛一下强盗气焰。,3
等到出现了这样的局势，或者美帝国主义这一罪恶图谋有了实现的保证之后，美国才可以考虑撤兵的问题。,3
当我已经视昔日的敌人为朋友时，我才会揭露这种卑恶行为。,3
将有中立国配合行动三、反共青年不听解释，才会促进大韩民国政府发动国力的机会迅速到来。,3
在年轻人看来，摇动电话、告诉话务员要接通的地方或人、连线通话，这种通信方式似乎影视作品里才会出现。,3
这样，侨务工作才会越做越好。,3
他常说：“群众感到需要怎样作以后，作起来才会收到真正的效果。,3
老皇帝一眼把人看错，或新皇帝有个发展变化（人是可以变的），“社稷”就倒霉了，等这个皇帝死掉，换上另一个皇帝，才可能有转机。,3
在室内才可能做到最大限度的集中精力，热烈气氛，浓缩感情。,3
在特殊的时间和空间，国家才可以采取直接控制的形式。,3
本来在以较大的时空领域为研究对象以至于可以忽略基本粒子的内部结构时，才可以把基本粒子看作数学的点（注五）。,3
当电视介入了最广大的普通观众的现实生活，我们的社会才会形成真正的电视文化，而仅有消闲娱乐功能的电视至多只是娱乐文化的一部分，却无法涵盖内容丰富的现代电视文化。,3
企业经常向职工进行正确的思想观念，提出新的目标任务，使职工保持积极的危机感教育，才会有活力。,3
在理念的基础上，往实践的方向更进一步，时间才会给我们留一扇门。,3
阳春四月，中原才会出现这种风的走势的，整个一股来势很猛，像是从大地深处冒出的一股阳气向高天垂直地吹拂上去，大约在300米或更高些的天空又猛地改向舒卷着流向远方。,3
他说：“大救星毛主席教导下的运动员，才会进山来为咱牧民们表演啊！,3
传统的艺术，大众喜闻乐见的艺术才允许拼凑、模仿、因袭和师承，因为传统就是在因袭和继承中落脚喘息的。,3
干出实事，求得实效，社会的物质生产和精神生产才会不断向前发展。,3
那些欠发达地区，比如洛阳、宜宾等，动用大量银行资金进行基础设施建设和房地产开发，在市区建豪华的人民广场和高档写字楼、公寓，却并没有消费能力，这些地区才会存在严重金融风险和泡沫。,3
以求真的态度做踏实的工作，保护环境，走可持续发展之路才不会成为一句空话。,3
发展组织和“只是满足社员群众的供销要求”不仅不矛盾，而且是一致的；也首先发展了组织，才可以实现“为社员服务”的业务方针。,3
采访中，一位执行法官说得好：“形成‘老赖’人人喊打的社会氛围，‘老赖’才会真的绝迹。,3
看来，苏联仍然坚持其“联系”原则，即在严格遵守反弹道导弹条约的前提下，苏联才同意达成削减战略武器条约，其目的是想压美国取消“星球大战”计划。,3
教育越办越好，各方面拿钱办教育的积极性才会越来越高。,3
可我国登记献骨髓的人2万人，实际上需要10万人以上才可能建立生命保障机制。,3
而这种感情，也像他们这些长时间从事水利建设的工程技术人员才会体会得那样深切。,3
仿佛生态保护、生态重建政府才关心，老百姓两眼只会盯着门前的一亩三分地，老百姓难道就真的不关心身后的这片土地了吗？,3
评论强调说，对南斯拉夫人民真正关心的苏联人对南斯拉夫居民的困难深深同情，丧失良心的诬蔑者才会颠倒黑白。,3
而在把这头几个问题加以讨论并解决以后，才可能和平解决远东问题。,3
列宁说：“社会主义才可能广泛推行和真正支配根据科学原则进行的产品的社会生产和分配，以便使所有劳动者过最美好的、最幸福的生活。,3
到底能拿多少枚金牌，人们似乎也不那么关注了，参加某些竞猜活动的人，才会仔细算算金牌账。,3
明确地指出美帝国主义是和平的敌人，才不至于导致各国人民迷失斗争的方向。,3
有的教师也认为，学生识字多，自己脸上才光彩。,3
他说，洪森及其金边政权的同伙不是作为所谓的“柬埔寨人民共和国”的代表时，他才同意在雅加达会见他们。,3
这些协定的出发点是拒绝集体安全的原则，使一些欧洲国家同另外一些欧洲国家处于对立状态，挑拨欧洲国家之间的矛盾，以及继续军备竞赛，新侵略和新战争的计划才会如此做。,3
任何食物放在猴子们面前，猴王不先动，哪个猴子都不敢动，等猴王享用完了，众猴们才一拥而上吃将起来。,3
在所有努力均告失败，而有关的公司又面临履行合同的最后限期时，我们才决定采取这个最低限度所必需的行动，以维护联合王国的利益”。,3
任何美丽的形式如果脱离开生活，将会空虚乏味；结合生活才会鲜明生动，为了满足群众多方面的欣赏爱好，也需要在继续深入生活的基础上，增加更多的品种，创造更多的风格。,3
根本的质变，用革命手段推翻资本主义奴役制度才创造了建设新世界的可能。,3
依靠群众，开门整风，反骄才反得准，反得彻底。,3
为人民服务是我们党的根本宗旨，不断改善人民的生产、生活条件，提高人民的物质生活和文化生活水平，才会极大地调动广大人民的积极性，加快我国社会主义现代化的进程。,3
你对它有了感情，你才会爱它，把自己的心血灌注于内，和它同呼吸共命运，为它“废寝忘食”，为它“受尽风霜雨露”。,3
