text,label_meaning
温县南张羌乡，通过整社认真地解决了社员提出的许多问题，社员们说：“像这样的整社，一年要多整几次才好。,3
她仅仅是丈夫被日本人杀死，为了报夫仇，才参加了抗日战争时期的一些政治活动。,3
仅此一项，每届就要投资近10万元，自然，这有陕西电视机厂和香港胜明实业有限公司这样的企业对文化建设的热忱相助，才使歌曲爱好者获得进修和比赛的机会。,3
可是，体育的核心精神——更高、更快、更强，本身就带着竞技性啊，正是有了公平竞争，体育才变得好看、好玩。,3
却患有先心病被父母遗弃在医院里，到“宝贝之家”时才刚刚7天，后来又被查出患有肝损害，需要长期服药治疗。,3
如此深刻的乡愁，怀着如此质朴的初心，他才写出了这本书。,3
蒋健说：“赞助商多了以后，服务是个很大的问题，赞助商信任才会跟你签约，体育赞助是先签约后兑现，服务是非常关键的。,3
在一处空白上整齐地写着这样几行小字：“做为一个共产党员，他最大的快乐，他的骄傲和安慰，就在他看见了人类他们的存在，才在加速地接近着共产主义！,3
而百度则表示，个别吧主借公职谋私利，才会尝试“专业机构+吧友”联合运营的模式，目前已叫停所有病种类贴吧的商业合作。,3
这种危险性的存在，所以，东盟才会呼吁越南占领军必须全部从柬埔寨撤退。,3
如此，他所领导的公司才大胆在中国投资，成为外国公司在中国最大的投资者之一。,3
他说：“这边人工费很高，为了省钱，自己能做的都学着去做，实在搞不定了才会请人帮忙。,3
现在他认识到，过去自己做官当老爷，严重脱离群众，背离了毛主席的革命路线，才受到群众的批判。,3
，正是他上台时所依靠的那些极端殖民主义者竭力反对撤出法国驻在突尼斯的军队，并且不断对突尼斯进行军事挑衅，才使得两国关系越来越恶化。,3
我才两岁多，我的爸爸——方志敏烈士就已离开了我们。,3
有了“两手抓、两手硬”，才使今日刘桥一矿面貌一新。,3
其实我们对于卫生工作的注意，才会使美国侵略者企图散布的疫病，没有能够扩大蔓延。,3
正是结识了知心朋友，遇到了热心肠的人，海归的异国求学时光才变得不那么漫长。,3
需要注册并拥有全部相关甚至相似的域名，才可以保护自己。,3
正是失却“知情权”，才会不断地出现众多小业主消费者被不良发展商恶意坑害之事。,3
此项赛事酝酿了许久，但资金问题导致比赛几乎流产，最后由广州日报大洋网出资才使比赛得以实现。,3
这样，才使我们党保持了旺盛战斗力，使党的事业步步胜利。,3
也正是如此，他才会在哈佛中途休学以专心玩他心爱的电脑。,3
也正是这件事，才使逸群同志在1942年延安的所谓“抢救运动”中被隔离审查，蒙受了冤屈。,3
山海之大，才凸显出己身之小。,3
基本人权受到摧残的地方不在中国的西藏，在那里，正是平定了西藏反动分子的叛乱，实行了民主改革，百万农奴才从极端野蛮的农奴制度下解放出来，真正得到了基本人权和宗教信仰的自由。,3
