text,label_meaning
李守正被俘前几分钟才向王仲廉报告：“形势很危险。,2
从早到晚，列车跑了一千多公里，时间过了二十几个小时，在午夜时望见了长沙市的灯光，她才住了手。,2
瑞典军方对此一直不好意思向巴方通报，瑞典新闻媒介报道之后，才向巴驻瑞使馆说明这些马的命运。,2
一下午六时，批发站才在大家一再催促下，派何同志带着五份复写的字迹模糊的文件，匆匆来到了招待所。,2
一六八八年，资产阶级政党以政变的方式从荷兰迎来了一个带着荷兰海陆军进入英国的国王，这才使英国的资产阶级专政稳定下来。,2
又一拍涛声响起，那颗悬着的心才复归于平静。,2
这位老教授送给他法国酒、外国电池灯，用汽车接他到饭店吃饭后，他才予以解决。,2
心存感激的3位旅客进站验票时，才发现车票已被人用“废票”和“短途票”调了包，而“热心”人早已没了踪影。,2
一夜晚八点多钟，才到茶厂，及时供应了烧柴。,2
观众们过于热情的压力，让主办方提前一小时就封锁了金秀贤将要亮相的馆区，公安部门甚至一度叫停了他的出场，临结束时，才亮相短短几分钟。,2
县支行领导申请执行，法院派人执行时，才发现法院的保全物资已被变卖一空。,2
下半夜三点钟，汽车才到韩家村。,2
当时部队迅速南进，没有来得及把这件事情的底细告诉朝鲜人民，去年春天，志愿军某部战士们到墓前进行隆重的祭奠时，当地人民才从一位战士李治黄的口中知道了这位不朽的朝鲜母亲生前的动人事迹。,2
今天我才了解到我经常来的这座城市竟然对中国历史如此重要，我甚至能够看到当年的历史场景，了解到毛泽东当年起草宪法的灵感来源。,2
构建启动经济的支点1997年，和林格尔县的国内生产总值、财政收入、农民人均收入才分别为3.8亿元、1955万元和1300元。,2
去年就有两百亩一“寒露”后才下种，下种迟减了产。,2
1905年法国才占领全部阿尔及利亚。,2
有一天，才大爷倚在陈老五的怀里，说出了一生中最后的一句话：“老五，我不行了，死了，是福……”他仍然挤不出买一双胶鞋的钱。,2
他珍藏几十年的一颗手榴弹，1966年有关部门征集红军遗留文物，他才交给县里。,2
师生员工发言热烈紧凑，主席宣布停止讨论时，还有许多举了好久的手才勉强放下来。,2
当在村办企业上班的群众月工资达到200多元时，他这位当支书的月工资还在60元以下，1988年年底，在党员、群众的联名提议下，他的月工资才升到90元。,2
我虽然在1974年已经参加了整理帛书的一些工作，但1978年初才去整理小组报到。,2
读到贾霁同志的《不足为训的武训》、杨耳同志的《试谈陶行知先生表扬〈武训精神〉有无积极作用》、汪曾祺同志的《武训的错误》等文，才使我从许多错误思想里解放出来。,2
但下午5点半他才匆匆赶来。,2
由于“文革”的影响，1975年1月，四届人大一次会议才在北京举行，原邮电部于当年1月25日发行了一套三枚《第四届全国人民代表大会》纪念邮票，志号为J5。,2
中国古代钱币中，最为亮眼的是一枚海内外孤品同治通宝宝浙局样币，为1870年由清廷委托法国巴黎造币厂试铸，因普法战争爆发，中国机制钱币的尝试光绪年间才又恢复。,2
2015年10月31日凌晨，巡逻警卫才发现盗墓行为，此时嫌疑人梁成刚等人已逃离。,2
去年赴俄滨海边疆区某市座谈，俄方市长开完会又坐到我们车上，滔滔不绝可着劲儿推介项目，我们的车离开该市才下车”，对岸的热情让绥芬河市委书记赵连钧连呼“超预期”。,2
"当日，美国白宫宣布,在参众两院相继通过了旨在解决债务违约危机和结束政府停摆局面的议案后,总统奥巴马才下令所有的联邦政府雇员于17日回到工作岗位上。",2
有一天，漂泊的心疲倦了，忍不住将它小心翼翼地剥开，才发现里面只有沉甸甸的两个字——乡愁。,2
一九五二年三月，她爸爸生了病，一第二年四月才好，这么长的时间里，不仅享受着公费医疗待遇，还发给薪金。,2
一工程即将完工，要核计水电装置预算的时候，才发现建筑面积超过原计划一倍半以上。,2
5月中旬，非典疫情缓解，她才到医院化疗。,2
1962年“五一”节前夕，《人民文学》编辑部才喜接中央办公厅电话通知：主席同意发表他自己选定的六首词，并亲笔写了小序，请速派人取稿。,2
这种医院由居民自发举办，每当疫病流行时节，居民们腾出自己的家宅，把当地的流行病患者隔离起来，请医生进行诊断治疗，患者康复后才准其回家，以防传染。,2
晚上8点，公司接管人员才全部撤回。,2
解放后，日子才一天天好起来。,2
为什么现在这种形式和内容的波兰共和国宪法草案，立宪议会成立的末期，即到一九五二年才交给立宪议会讨论而不在五年以前立宪议会成立的初期交付讨论呢？,2
这一天正是端午节，汪世成同志还没有吃中饭，马上背了蒋金莲到县民政科、县医院，交涉看病的事情，下午三四点钟把事情办好，他才回家吃中饭。,2
群众反映了一年有余，今年“五一”节厂领导走访工人家庭时，才动手解决。,2
一一九七七年，由于美国国际收支逆差再次扩大，金价才又开始上升。,2
至于群众集会上周才予以批准。,2
本届国会开幕4天后的10月16日，只经过政府和自民党少数人讨论认可的这项法案，才匆匆提交国会。,2
苏联红军击溃了纳粹德国，他才从狱中得到解放。,2
队员们听了后，立即毫不犹豫地到这个社员家里去放映幻灯，深夜一点才回来休息。,2
小白用手一只只接下来，用药水把它们洗干净，夜里十一点钟，小猪才全部生下来。,2
一天，老汉忘记了时辰，天黑才去接羊群。,2
有的医院，收完费、收了方，将药包从窗口递出后，才告诉患者，包中缺一味药，并且毫无退款之意。,2
16世纪中叶，欧洲的经济发展水平才与中国大体“在同一起跑线上”。,2
表演者们在场内组成“欢迎”字样时，场内的沉闷气氛才为之一变。,2
老舍先生写出《茶馆》，这门源自于古希腊的艺术才初步完成了中国化移植。,2
显然，现在，国务卿才发现苏联不希望战争。,2
每次为影片写主题曲，他总是反复看剧本，进入戏的意境才动笔。,2
他逝世的前一天，我才决意给他找一个人，但为时已晚。,2
近几年来，经两国史学界费尽艰辛，对家谱、族谱、传承世系等多方考证，才于1999年确证晋江上郭村为菲律宾国父何塞·黎刹的祖籍地。,2
后来主编换了多人，刊物的出版也中断过几次，1950年才停刊。,2
比’的方法是把欠租的农民，按置在一种特制木架上，掀翻屁股，用鞭子猛打，一见血，才叫‘血比’。,2
有一次，他为寡妇阿尼西娅运草时，被大车碰坏了腿，伤口溃烂化脓，发烧40℃，有10多天无法下床，3个多月后才勉强一瘸一拐地走路。,2
1960年，南非当局才在这里修建监狱，专门关押黑人政治犯。,2
