text,label_meaning,label_predicted
他以非凡的才华在这次演唱会上荣获一等奖。,0.0,0
他才到家一会儿，就被妈妈喊去。,1.0,1
直到天都黑了，他才回到家。,2.0,1
只有社会主义才能救中国。,3.0,2
这才是正宗的北京烤鸭。,4.0,1
凌河镇偕户村生姜种植户李莲，以往都要等到深秋时，才会把姜挖出来卖掉。,2.0,1
是毛主席，指出了枪杆子里面出政权，对于帝国主义和一切反动派统治下的旧世界，只有用枪杆子才可能改造。,4.0,2
为满足“引才”需求，新疆对应聘大学生作出硬性规定：须政治素质好、学业成绩优良、志愿到基层一线和艰苦地区工作。,0.0,0
万幸的是他遇到了好人的帮助，这才从万分懊恼和沮丧中重新挺起腰杆，继续坚韧地坚持自己的目标。,4.0,1
只有天山，才具如此的掌控能力，将喧哗和静默有机统一，将奔涌和凝固完美结合。,4.0,2
蓝口公社解放初期才1.6万人，现在是3.82多万人，三十一年时间，增加了2.2万多人，如果继续按这个速度增长，二十年之后，全社要增加到8.8万至9万人。,3.0,1
只有经受实践风雨的洗礼，“四个意识”才会在思想深处扎根。,4.0,2
这时，我们才在所里试验井架上继续试验，研究、设计适合各种钢轨、各种坡度的煤矿用标准斜井人车，为煤炭工业发展创造条件。,2.0,1
因此，自己的脚懒不得，停不得，必须经常到下面去走一走，看一看，听一听，问一问，真正把情况弄清楚，指导工作才会比较有把握。,,2
男、女单打比赛争夺十分激烈，许多场次是打满了五局才决出胜负的，一些名将被新秀淘汰，几乎每一轮都有冷门爆出。,2.0,1
通过银行贷款购房，尽管这几年才在中国盛行，但在国外早已是十分平常的事情了。,2.0,1
他们同大风雪整整搏斗了十一个小时，深夜到达一个居民点才休息。,2.0,1
本党对于国家兴亡，必当尽其心思才力，贯彻始终。,0.0,0
苏联30年代处理布哈林等人的案件时，正是由于社会主义法制遭到破坏，抛弃了公开审理的法制原则，才出现“伪造证词，用不允许的方法向被告人取口供”的恶劣后果。,4.0,2
我想，我们公社每人平均才九分耕地，如果都搞大株行距，势必影响粮食作物面积，果树生产，也应该按照农业“八字宪法”办事，实行合理密植。,3.0,1
他又说：“十八世纪老无神论者所写的那些锋利的、生动的、有才华的政论，机智地公开地打击了当时盛行的僧侣主义。,0.0,0
写判决书时，她的标准是改到不能再改才发给当事人。,2.0,1
