text,label_meaning,prediction
此时此刻，对于中国品牌全球化而言，一切才刚刚开始。,1,1
为了工作，他在老父亲临终前才回去看一眼，办完事后，又连夜赶回县城。,2,2
出席祝贺会的有十名明星队队员，苏联名将契布金娜、卡恰洛娃因故24日才到达东京汇合。,2,2
正是这种爱，使他们牢牢地扎根在肥沃的黑土地上，吮吸大地的滋养，接受人民的哺育，不负生活的厚赐，才会出现如此丰硕的戏剧之果。,2,2
但是，庆贺之后要认真总结经验，要看到我们的弱点，要向印尼、丹麦等优秀队员学习，学习人家的长处，戒骄戒躁，才会不断前进。,2,2
他才华横溢，仪表堂堂，常有妇女暗恋之，无以表达，就偷偷往其身后放一双亲手做的布鞋。,0,0
只有这样，法国民族民主力量的团结才会成为不可遏制的现实而马上在议会方面表现出来。,2,2
据研究只有在人脑中它们才大量增加，约占全部皮质细胞总数的一半。,2,2
绵阳御营职中烹饪专业的毕业生遍布全国各地，有的还走出国门，在德国、俄罗斯、日本施展才华。,0,0
这样，“一二·九”运动才发动起来和坚持下去，并直接汇入全国人民的抗战洪流。,2,2
每到过年，村里最精彩的节目就是得胜鼓，各村轮流表演，表演的人都有一碗热乎乎的肉丝汤面，“那才叫有年味咧。,2,2
这些劳动英雄都是经过好多次的民主评定才决定了的。,2,2
然而，正是因为一些人经受不住金钱美色的诱惑，放弃职守，甚至支持、包庇、组织、参与走私，才使得厦门关区大门洞开，走私链条环环相扣，犯罪分子图谋得逞。,2,2
我们党也正是靠这一条，才从千难万险之中夺取了革命的胜利。,2,2
对我国处于历史转折和重大改革时期的各项政策，只有在三中全会重新确立的思想路线的指导下，才可能使人们打破旧思想的束缚，跟上变化了的新形势。,2,2
国务院紧急通知一年后，即1993年11月15日，郑州市政府才发文明确规定收回下放给各县（市）的土地审批权，并要求新郑烟厂征地一事须到郑州市补办有关手续。,2,2
一九六○年，在万山战斗前，盘踞在珠江口几个小岛上的敌人一直不走，又不投降，等到我们打上去了，用枪杆子一扫，他们才叫：“啊哟！,2,2
伊朗开始拒绝同伊拉克举行直接会谈，后来立场有所松动，说只有在停火实现之后，它才同意同伊拉克进行直接对话。,2,2
所以很多留学生在大三时没有投简历的意识，基本上都是等到大四毕业了才去求职。,2,2
美国空中强盗对越南北方进行狂轰滥炸，从十七度线一直炸到越中边境，炸到越南人民的首都，这不叫“战争行动”，究竟什么才叫做“战争行动”？,2,2
主人把她带到我们身边，我们才发现，她是《女奴》女主角依佐拉！,2,2
河水一分钟一分钟地往上涨，费了好大的力气，他才从沟里爬上来。,2,2
凌均峰于1995年下岗，爱人以前在衡阳探矿机械厂当技术工人，也下岗多年，去年赴广东打工，小孩才3岁，全家的日子过得紧巴巴的。,1,1
只有本体确定了，镜像才可能美丽。,2,2
我县自去年九月中旬召开第五届各界人民代表会议之后，到今年八月九日才召开第六届各界人民代表会议。,2,2
4月10日上午，长江乡板林小学有一间教室突然倒塌，幸亏当时已经下课，师生才免于难。,2,2
双方在这一条件下，曾企图全面结束“日韩会谈”，但由于南朝鲜人民去年三月和六月两次掀起大规模的斗争风暴，才使会谈被迫中断。,2,2
武钢的厂房钢结构才1.8万吨，宝钢是14.8万吨，主焊缝加起来45公里长。,1,1
这标志着藏传佛教高级学衔制度的成功确立，也标志着藏传佛教僧才培育工作在新的历史条件下迈出了新步伐。,0,0
她娘俩好得像母女似的，邻居们都非常羡慕她们，但刘海珍家是在去年才好起来的。,2,2
特别重大的改革或技术问题才交厂的领导方面研究解决。,2,2
微信上类似的游戏或健康信息是大家转发的热点，不少难辨真假，建议大家不但要多听多看，还要慎思、明辨，只有用科学的方法进行保健才可能给自己和家人带来健康。,2,2
今年麦收前，许多镇干部早晨5时下村，帮助落实蔬菜种植计划，晚上6时又下村办技术讲座，直到夜里11时才回镇休息。,2,2
他怎么也想不到，约翰逊正是由于有了他这样的强大对手，才创造出伟大的成绩。,2,2
来信者中，年龄最大的90岁，最小的才13岁。,1,1
如要去看，更要耐心说服教育，保证到部队不起坏作用，不发生问题才好。,2,2
明确了行业方向后，对于究竟做一个什么样的网站，高利民是在看了8700个站点之后才做出的决定。,2,2
西南部山区的固镇，1982年人均收入才一百多元。,1,1
只有那些真正为时代所喝彩，让人民所信服的东西，我们才会从肺腑中发出心声，从而形成真正的掌声。,2,2
不过，平台上有作业的人员包括服务人员总共才424人。,1,1
孩子现在11岁半，只上到小学一年级，由于营养不良，他现在的体重才22公斤。,1,1
在北京工人体育场火炬台施工现场，我们遇见了刚刚从包头钢铁学院毕业、才上班工作4天的大学生成城。,1,1
正是从这一点出发，我们才始终把提高职工的思想政治觉悟，看成是提高职工素质的首要任务。,2,2
而对于今天的人们来说，他的故事才刚刚开始。,1,1
正是因为批判了修正主义路线，限制了资产阶级法权，密切了干群关系，实行了老中青三结合，我们的各级党组织才大大增强了战斗力，涌现出一大批震不垮、砸不烂的战斗堡垒。,2,2
值得注意的是，这个重大变化是在近30年来才出现的，反映着美国迅速向南发展的趋势。,2,2
正是因为有了它，宇宙航行才变为可能，因为它本身携带燃料和助燃的氧化剂，并且推力也很大。,2,2
